Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"pcb","the pcb cause yes",,9.53,"","jlcpcb"
"lipo battery","to power the thing",1,4.85,"https://www.aliexpress.com/item/1005009733618301.html?spm=a2g0o.productlist.main.1.4dbf2bcdSIN130&algo_pvid=609a5463-33c2-4716-a65a-d027765c406e&algo_exp_id=609a5463-33c2-4716-a65a-d027765c406e-37&pdp_ext_f=%7B%22order%22%3A%2220%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%218.81%214.85%21%21%218.81%214.85%21%402101c44f17775182871705306ea1b7%2112000049983242399%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29919%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895&curPageLogUid=ncMamPYHJDWc&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009733618301%7C_p_origin_prod%3A","ali express"
"ads1115","for slider and joystick",1,3.27,"https://www.aliexpress.com/item/4000116831589.html?spm=a2g0o.productlist.main.4.e4367170pqiJeh&algo_pvid=54b18df7-b4a7-4482-b792-d480d9cb0b9a&aem_p4p_detail=202604241740286255615724926120001424947&algo_exp_id=54b18df7-b4a7-4482-b792-d480d9cb0b9a-3&pdp_ext_f=%7B%22order%22%3A%22359%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.63%213.27%21%21%213.63%213.27%21%402101eee917770776282871616e7bde%2112000031353532263%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29911%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895&curPageLogUid=sNNybvIUvGwU&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000116831589%7C_p_origin_prod%3A&search_p4p_id=202604241740286255615724926120001424947_1","ali express"
"rotary encoder","turning input",1,1.27,"https://www.aliexpress.com/item/1005007644083514.html?spm=a2g0o.productlist.main.1.7b187465T0x8DI&algo_pvid=dd42beb6-a89c-4e9a-822a-aee0d3bb8655&algo_exp_id=dd42beb6-a89c-4e9a-822a-aee0d3bb8655-0&pdp_ext_f=%7B%22order%22%3A%222833%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.17%210.99%21%21%211.17%210.99%21%402101ee6617770766332183942e6637%2112000041630839415%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29911%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895%3BpisId%3A5000000204047332&curPageLogUid=TOJyxlb254yR&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007644083514%7C_p_origin_prod%3A","ali express"
"switches","buttons",1,3.33,"https://www.aliexpress.com/item/1005006425450443.html?mp=1&pdp_npi=6@dis!USD!USD+8.40!USD+0.99!!USD+0.99!!!@2101e2b417770755354165492e1519!12000037120671470!ct!AU!7402515296!!1!0!","ali express"
"slide pot","sliders",1,2.66,"https://www.aliexpress.com/item/1005008713345793.html?spm=a2g0o.productlist.main.2.60983Pyu3PyuP1&algo_pvid=b0022195-0b79-4524-aa97-ece731d8ad54&algo_exp_id=b0022195-0b79-4524-aa97-ece731d8ad54-1&pdp_ext_f=%7B%22order%22%3A%22681%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.66%210.99%21%21%2118.09%216.73%21%402101ee6617771813279241737e662c%2112000046545295127%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29911%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895%3BpisId%3A5000000204047332&curPageLogUid=FXsnTpFwKMfe&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008713345793%7C_p_origin_prod%3A","ali express"
"joystick","a stick that gives out joy",1,2.25,"https://www.aliexpress.com/item/1005006375332797.html?spm=a2g0o.productlist.main.15.5f8999mT99mTyR&algo_pvid=a52f8a2f-d575-4ad3-bee8-e1a1bf34a230&algo_exp_id=a52f8a2f-d575-4ad3-bee8-e1a1bf34a230-12&pdp_ext_f=%7B%22order%22%3A%221642%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.56%210.99%21%21%2137.82%216.70%21%40210328db17771815335367219ee95e%2112000037014017250%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29911%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895%3BpisId%3A5000000204047332&curPageLogUid=3UEUdfj2OnjF&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006375332797%7C_p_origin_prod%3A","ali express"
"100r resistor","resisting",1,2.27,"https://www.aliexpress.com/item/1005011767578775.html?spm=a2g0o.productlist.main.1.76e6ZlYYZlYY3F&algo_pvid=f206bbe8-b6cf-4d97-9d89-c2e8b83d0c2a&algo_exp_id=f206bbe8-b6cf-4d97-9d89-c2e8b83d0c2a-0&pdp_ext_f=%7B%22order%22%3A%22406%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.25%212.25%21%21%2115.27%2115.27%21%402101e62517775175047942601ec187%2112000056498243033%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29919%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895&curPageLogUid=AbMFjAyFlsHa&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011767578775%7C_p_origin_prod%3A","ali express"
"4.7k resistor","resisting",1,2.27,"https://www.aliexpress.com/item/1005011767578775.html?spm=a2g0o.productlist.main.1.76e6ZlYYZlYY3F&algo_pvid=f206bbe8-b6cf-4d97-9d89-c2e8b83d0c2a&algo_exp_id=f206bbe8-b6cf-4d97-9d89-c2e8b83d0c2a-0&pdp_ext_f=%7B%22order%22%3A%22406%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.25%212.25%21%21%2115.27%2115.27%21%402101e62517775175047942601ec187%2112000056498243033%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29919%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895&curPageLogUid=AbMFjAyFlsHa&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011767578775%7C_p_origin_prod%3A","ali express"
"oled","display",1,3.28,"https://www.aliexpress.com/item/1005006141235306.html?spm=a2g0o.productlist.main.5.3f1d5aQB5aQBoF&algo_pvid=df8c57ed-aec9-4026-bcdc-6001e1653fcb&algo_exp_id=df8c57ed-aec9-4026-bcdc-6001e1653fcb-4&pdp_ext_f=%7B%22order%22%3A%2224858%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.28%213.28%21%21%2122.31%2122.31%21%40210328d417775169223114674e3f7a%2112000035944225407%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29919%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895&curPageLogUid=PcB4MSEwSkfi&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006141235306%7C_p_origin_prod%3A","ali express"
"100nF capacitors","capacitors",1,2.45,"https://www.aliexpress.com/item/1005011747293156.html?spm=a2g0o.productlist.main.2.5d0cW9aYW9aYN6&algo_pvid=49c092ae-32d3-499e-9581-dbbdd42c5039&algo_exp_id=49c092ae-32d3-499e-9581-dbbdd42c5039-1&pdp_ext_f=%7B%22order%22%3A%22885%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.90%211.90%21%21%2112.93%2112.93%21%402101eee917775168025443418ef2eb%2112000056423315138%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29919%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895&curPageLogUid=lGNuhkprjgKw&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011747293156%7C_p_origin_prod%3A","Ali express"
"Buzzer","for noise",1,1.90,"https://www.aliexpress.com/item/1005007760117171.html?spm=a2g0o.productlist.main.3.6030mV5emV5e3L&algo_pvid=eef0c9b7-e91c-4ed5-b4f4-4c7a828aafc4&algo_exp_id=eef0c9b7-e91c-4ed5-b4f4-4c7a828aafc4-2&pdp_ext_f=%7B%22order%22%3A%2249%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.87%210.99%21%21%2119.49%216.70%21%402103129f17771804952892675e59d3%2112000042136775304%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29911%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895%3BpisId%3A5000000204047332&curPageLogUid=3fwWn3qz4T5N&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007760117171%7C_p_origin_prod%3A","ali express"
"the case","slick af thing that everything goes in",1,6.50,"","printing legion"
"xiao esp32 s3","microcontroller",1,10.70,"https://www.aliexpress.com/item/1005005543738460.html?spm=a2g0o.productlist.main.9.548423233N4hX9&algo_pvid=40a65dd5-e78b-4226-898b-bc6857bc487d&algo_exp_id=40a65dd5-e78b-4226-898b-bc6857bc487d-8&pdp_ext_f=%7B%22order%22%3A%22312%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2110.18%217.53%21%21%2110.18%217.53%21%402101e2b217775214525851376e0541%2112000033478832279%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29919%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895&curPageLogUid=AiLlLlucd8qa&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005543738460%7C_p_origin_prod%3A","ali express"